행정동,상권활성화지수,상권활성화_SNS,젠트리피케이션지수,젠트리피케이션_SNS,클러스터,시,구,동,합산지수
서울특별시 송파구 가락1동,5.733687596126218,1.3769178864021216,1.884093565537552,0.6183111660995978,위험_균형진행형,서울특별시,송파구,가락1동,9.61301021416549
서울특별시 송파구 가락2동,4.437889891624479,0.0,0.2344082960038763,0.0,주의,서울특별시,송파구,가락2동,4.672298187628356
서울특별시 송파구 가락본동,4.449955596964598,0.0,-0.3274730690571399,0.0,주의,서울특별시,송파구,가락본동,4.122482527907458
서울특별시 구로구 가리봉동,4.006997511078088,0.2735519888346127,0.4666231524584254,0.3657593566347045,경계,서울특별시,구로구,가리봉동,5.112932009005832
서울특별시 금천구 가산동,6.258861177563685,2.511262617143477,0.0118142161765723,0.8447262604392205,위험_균형진행형,서울특별시,금천구,가산동,9.626664271322957
서울특별시 강서구 가양1동,4.308008343999443,0.0,-0.178787853464805,0.0,주의,서울특별시,강서구,가양1동,4.129220490534638
서울특별시 종로구 가회동,5.051165780021974,0.6374117223257614,0.3496585423152067,0.2264150943396226,위험_균형진행형,서울특별시,종로구,가회동,6.264651139002565
서울특별시 은평구 갈현1동,4.468417009050737,0.7240167474894367,0.0343905076347038,0.2264150943396226,경계,서울특별시,은평구,갈현1동,5.4532393585145
서울특별시 은평구 갈현2동,3.7205756816237208,0.0,0.3171676891988607,0.0,주의,서울특별시,은평구,갈현2동,4.037743370822581
서울특별시 강동구 강일동,2.629798936766599,0.0911839962782042,-0.1973054101528911,0.0,일반,서울특별시,강동구,강일동,2.523677522891912
서울특별시 구로구 개봉1동,3.7831678730886487,0.0,0.6198926658086795,0.0,주의,서울특별시,구로구,개봉1동,4.4030605388973285
서울특별시 구로구 개봉2동,3.9652215606490095,0.0,0.7504079833631377,0.0,주의,서울특별시,구로구,개봉2동,4.715629544012147
서울특별시 구로구 개봉3동,3.036664227305832,0.6428669450619586,-0.723696640713388,0.2264150943396226,일반,서울특별시,구로구,개봉3동,3.182249625994025
서울특별시 강남구 개포2동,3.812732358381113,1.0887527326022537,0.389400066406723,0.6183111660995978,경계,서울특별시,강남구,개포2동,5.909196323489687
서울특별시 강남구 개포4동,3.887289570166669,0.0,-0.2292974289540761,0.0,일반,서울특별시,강남구,개포4동,3.657992141212593
서울특별시 송파구 거여1동,3.601071878583568,0.0,1.2383907056903534,0.0,경계,서울특별시,송파구,거여1동,4.839462584273921
서울특별시 송파구 거여2동,4.065050283477209,0.2835861826853389,0.2565983394051909,0.1132075471698113,주의,서울특별시,송파구,거여2동,4.718442352737549
서울특별시 강동구 고덕1동,2.736320711444816,0.0,1.2904062901562088,0.0,주의,서울특별시,강동구,고덕1동,4.026727001601024
서울특별시 강동구 고덕2동,3.537840834829611,1.386952080252848,3.552282940815492,0.2264150943396226,위험_젠트리피케이션과열형,서울특별시,강동구,고덕2동,8.703490950237573
서울특별시 구로구 고척1동,4.128033677657735,0.5872407530721303,1.0561312126554427,0.1393442622950819,경계,서울특별시,구로구,고척1동,5.910749905680389
서울특별시 구로구 고척2동,3.395018891505446,0.0,0.2218934072106016,0.0,일반,서울특별시,구로구,고척2동,3.616912298716048
